full_name_of_repo,commit_sha,path
academic-moodle-cooperation/moodle-mod_publication,127b4e860333df01d1ba394ec245f39003174c49,README.txt
academic-moodle-cooperation/moodle-mod_publication,1dd19538f55246bfe0eda4b1cad377956b9239f2,README.md
academic-moodle-cooperation/moodle-mod_publication,5caaa404081f85ffcd27cf038b703ac7355750ad,README.md
academic-moodle-cooperation/moodle-mod_publication,d6241ad47c5f473cd6a67684dbe8d38d37d5bf49,README.md
adamabdelhamed/PowerArgs,9e159ea2438b6a8cb26d8146e50725d23716e931,readme.md
adamabdelhamed/PowerArgs,b84c01b66d88d7e5bc4953425389860fa81051de,readme.md
agrestio/agrest,bbc5db101c1b024ac6f934c186f5d6be915aee0f,README.md
airbnb/epoxy,59995279870ef807d8e6f824fd114ca5e5f5a41d,README.md
airbnb/epoxy,770a82e699678c64fd00ec4445b998588550d856,README.md
airbnb/epoxy,c0ebbef091613034c0bd997d0ebee51d323514c5,README.md
alakajam-team/alakajam,824103c6c7b352ad5d5ea31a17905d9d012743c6,README.md
apache/shardingsphere,05668f1d844938b3382afcbd51c60d9ea46ab0fd,README.md
apache/shardingsphere,21cfb95c0d15634da6a03c47eccef9e0512cf1a0,CONTRIBUTING.md
apache/shardingsphere,228dd807e9efa7b87f82bbf2406efa6b270658e3,README.md
apache/shardingsphere,28bd25cf0fc0ffe6457ccb066965f549d2dc7c37,README.md
apache/shardingsphere,67ab114c87f85035a06ee98256e1d48323b2a8e9,README.md
apache/shardingsphere,8803d660be9a3be89d2a09f0390266574afd28ab,README.md
apache/shardingsphere,97d5b0f4a74bce77c80e75a41a4d8bb30866b91e,README.md
apache/shardingsphere,b4c87f27cc8323d3d4a530e2566915ab43cffbdd,README.md
asini/asini,49e2ade19cc76b1fc65badfdbd87aef151edd297,README.md
asini/asini,bc11eaabb77231d64c0e32c2f0d21fabdae053da,README.md
bids-standard/bids-validator,778e66f81fad54ff5e3bc021f478009e130e443b,README.md
bids-standard/bids-validator,e9a0f0b9b3fb23df42936f728c2ab06ec9dd5ef4,CONTRIBUTING.md
bileto/cronner,b95f45ce0228829bb2e6c42adf5ed9b4b5a69c95,README.md
bitnami/charts,067e70d558867bd23d0877d29333f215c03ca78e,README.md
bitnami/charts,eb755dd36a4dd3cf6635be8e0598f9a7f4c4a554,README.md
calliopeinitiative/marca,22733dbb64ad8b27e4e417ca4ffe6b799cbff197,README.md
cerebral/overmind,11585df7206aeb9ea43c1e427feb70c469157fb7,README.md
cerebral/overmind,ac0be85a904c0eb72b4559b51c7b335d6a2007c9,README.md
cfpb/consumerfinance.gov,5e5981feb4c9a0137a947a1381dc4ff35be6b5c6,CONTRIBUTING.md
cfpb/consumerfinance.gov,848e4f9df68d4c56fcb1d9e89a82c54cd0c57703,README.md
contentful/contentful-management.js,1d3aa35750fa2910bf2a596af8acfb6de06a08c0,README.md
contentful/contentful-management.js,28483c2cb8c36f874837a7de15724c9ab7d6315f,README.md
contentful/contentful-management.js,5f67d7fa1fb721feae2fed1b45eb0c5f133cbcc9,README.md
contentful/contentful-management.js,65466b139ecca742ede0f021954f7620c6ead3f3,README.md
couchrest/couchrest_model,0a35be71677ef44b24abee27e2a8ccac6f1df79b,README.md
couchrest/couchrest_model,50f01041735d360982d1eb676a8b606aca3e92b0,README.md
couchrest/couchrest_model,db7829e9966ff61cd1ce529bb0bd0ed91837af27,README.md
crytic/echidna,99c7487a83b5907dcea0b5cace171796f24b7508,README.md
crytic/echidna,b13fde77ae2ceef9bd121442c3f0a0f561b30b3a,README.md
crytic/echidna,e9bba781330556ae4eb1ffdab772330d45df47a0,README.md
crytic/echidna,f058fc663571a85809884216c4caf20e120358aa,README.md
dachcom-digital/pimcore-toolbox,348611d023bf3da1155ae5eb8828b5dd1c31aa62,README.md
dachcom-digital/pimcore-toolbox,3f5ebcb5c8fcb9b72c76e062757925067f110684,README.md
dachcom-digital/pimcore-toolbox,4408601f6ab0d7260a0fef7600beda8581b8001f,README.md
dachcom-digital/pimcore-toolbox,a4b9256b3e2b1f687ad0ee6fe768f0365e8d1ddf,README.md
dachcom-digital/pimcore-toolbox,b3f3dc63c605e2ef922130c1d2c1e2a5abead310,README.md
danbarua/NEventSocket,7456053622d9cd578893092143980fc9d33f8c18,README.md
danieleteti/delphimvcframework,1858cdc2f6baec642262df10decc7df0b439a90c,README.md
danieleteti/delphimvcframework,3b4f01917ea27823c670528411403eb4316b2c48,README.md
danieleteti/delphimvcframework,3bde059f5e0639ab570ae553fdc96630c4c75c90,README.md
danieleteti/delphimvcframework,dfbcadb8fa89b2bfd4c5fa40f910205ee527ab56,README.md
danieleteti/delphimvcframework,ef8e90f087a30d21051c4b3f0d70f92cbf6bbd04,README.md
dchest/tweetnacl-js,24b9b3b3773f5e728745ed6f77add2cd7a584206,README.md
dchest/tweetnacl-js,b883191d7129a74fc1c47ec25386ed99b61e1c5b,README.md
deepweeb/B-B-W,915b90cfb639f4516162c03982096601fe23d601,README.md
deis/workflow-cli,08bc8e17ab8135ee7fb6d0e8474030666d16ecb0,README.md
deis/workflow-cli,0bb7b6ea37e3b41b8ce6fdc93d31a8d308ea49fe,README.md
deis/workflow-cli,fc92fef1c3bf77d1794af86fa7365f352e5c11ad,README.md
deoplete-plugins/deoplete-jedi,8f826913398d93e89cd3afd7cc818bbc69f8ea9c,README.md
dice4321/Gunkolle,6ef9f314d517b37e0ea2a0545e955428ff32663d,README.md
docker-library/python,318a012bfeba568d15306e079c07a146fcb41064,README.md
dominictobias/react-image-crop,d2066a20d1d550f71f8934317a0d77f799210ccd,README.md
dominictobias/react-image-crop,d2bb744509809677b4b5065f403798dbf7e4fdc4,README.md
dominictobias/react-image-crop,e03e535a9bec6878fb28da9091ff0f82b883d4dc,README.md
ember-cli/broccoli-babel-transpiler,7272e61e8b4b8d4946f2cb17e369f72c1c9b2b30,README.md
ember-cli/broccoli-babel-transpiler,d25b20c98aa6cec74bab85ca9de47168c202c169,README.md
eslint/eslint-github-bot,1d87f6c28b36781d5e850a65962c409d6351741d,README.md
eslint/eslint-github-bot,2a824ef471c43bec922a03df8b6adcc6600f5d5b,README.md
eslint/eslint-github-bot,83a4545615d674ee60b53e5d744b11a6800e9b1f,README.md
eslint/eslint-github-bot,9eca7fd59e28a684b182c94fcda3ed24eb31ea14,README.md
facebook/pyre-check,1664877781953e5d996928ca6d4e426c554f149f,README.md
findmypast-oss/mssql_ecto,444d2b13905fd5f6e9222a1c2d32831661d8ffa7,README.md
firebase/firebaseui-web,80ff09a67eda047cf39f22b26e302a503de3d43a,README.md
flexera-public/policy_templates,2dc9fcaee44c05f072656a770de1d8c74fb4cb80,README.md
flexera-public/policy_templates,340f38b13881c23edef4fa644ca4f2b45127cfb9,README.md
flexera-public/policy_templates,35d2f68e7eeac3692d45597759fc3f65bfe7e950,README.md
